Type               ,Version            ,S/N                ,Region             ,
LT24V160A          ,P3.4               ,PI504429           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     68,OPP    ,      0,      0,    5.0,  2.250,    5.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   3431,  58813, -55382,   5845,     20,      0,     19,      0,    272,    309,  20323,    170,   2421,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    157,                   ,    600,     24,     69,       ,OPP    ,     30,   2.00,   2.43,     30,     69,    176,    197,   5.68,Full ch,       ,03/12/2022 01:53:00,03/12/2022 09:02:00,      0,
    156,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.42,     30,     69,    110,    116,   3.37,Full ch,       ,03/12/2022 16:29:00,03/12/2022 22:29:00,      0,
    155,                   ,    600,     24,     69,       ,OPP    ,     36,   2.02,   2.43,     30,     69,    121,    137,   3.96,Full ch,       ,03/13/2022 00:39:00,03/13/2022 03:46:00,      0,
    154,                   ,    600,     24,     69,       ,EQUAL  ,     99,   2.18,   2.51,     15,     69,    479,    167,   5.11,Full ch,       ,03/13/2022 03:46:00,03/14/2022 07:10:00,      0,
    153,                   ,    600,     24,     69,       ,OPP    ,     38,   2.02,   2.43,     30,     69,     71,     80,   2.34,Full ch,       ,03/14/2022 08:49:00,03/14/2022 10:12:00,      0,
    152,                   ,    600,     24,     69,       ,OPP    ,     49,   2.04,   2.36,     78,     69,     22,     29,   0.84,Part ch,       ,03/14/2022 10:17:00,03/14/2022 10:40:00,      0,
    151,                   ,    600,     24,     69,       ,OPP    ,     54,   2.06,   2.43,     36,     69,     37,     40,   1.17,Full ch,       ,03/14/2022 11:31:00,03/14/2022 12:08:00,      0,
    150,                   ,    600,     24,     69,       ,OPP    ,     21,   1.99,   4.34,      0,     69,     38,     49,   1.36,Full ch,       ,03/14/2022 13:45:00,03/14/2022 14:24:00,  16384,
    149,                   ,    600,     24,     69,       ,OPP    ,     63,   2.08,   2.43,     30,     69,     17,     14,   0.41,Full ch,       ,03/14/2022 16:26:00,03/14/2022 16:58:00,      0,
    148,                   ,    600,     24,     69,       ,OPP    ,     28,   2.00,   2.43,     30,     69,    116,    132,   3.82,Full ch,       ,03/15/2022 01:19:00,03/15/2022 07:09:00,      0,
