Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ24V150A          ,P3.4               ,PI504655           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     50,IONIC  ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   9430,  62263, -52833,   6819,    134,      0,     28,      0,    322,   1367,  20748,   1086,   7698,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    248,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.38,    150,     50,     12,     23,   0.66,Part ch,       ,04/09/2022 12:28:16,04/09/2022 12:40:16,      0,NO     ,
    247,                   ,       ,     24,     50,       ,COLD   ,     44,   2.03,   2.44,    144,     50,     22,     46,   1.35,Part ch,       ,04/09/2022 14:36:16,04/09/2022 14:58:16,      0,YES    ,
    246,                   ,       ,     24,     50,       ,COLD   ,     46,   2.03,   2.45,    143,     50,     28,     60,   1.77,Part ch,       ,04/09/2022 15:12:16,04/09/2022 15:40:16,      0,NO     ,
    245,                   ,       ,     24,     50,       ,COLD   ,     58,   2.07,   2.71,     23,     50,     69,     28,   0.88,Full ch,       ,04/09/2022 17:43:16,04/10/2022 00:04:16,    512,NO     ,
    244,                   ,       ,     24,     50,       ,EQUAL  ,     99,   2.19,   2.51,     15,     50,    480,    170,   5.37,Full ch,DF5    ,04/10/2022 00:04:16,04/10/2022 19:46:16,    512,NO     ,
    243,                   ,       ,     24,     50,       ,COLD   ,     12,   1.97,   2.39,    149,     50,      9,     19,   0.55,Part ch,       ,04/10/2022 21:00:16,04/10/2022 21:09:16,      0,YES    ,
    242,                   ,       ,     24,     50,       ,COLD   ,     14,   1.97,   2.45,    138,     50,     37,     83,   2.44,Part ch,       ,04/10/2022 22:12:16,04/10/2022 22:49:16,      0,YES    ,
    241,                   ,       ,     24,     50,       ,COLD   ,     44,   2.03,   2.42,     98,     50,     40,     78,   2.32,Part ch,       ,04/11/2022 00:02:16,04/11/2022 00:41:16,      0,YES    ,
    240,                   ,       ,     24,     50,       ,COLD   ,     39,   2.02,   2.41,    150,     50,     12,     24,   0.70,Part ch,       ,04/11/2022 03:22:16,04/11/2022 03:34:16,      0,NO     ,
    239,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.42,    150,     50,      8,     15,   0.45,Part ch,       ,04/11/2022 03:51:16,04/11/2022 04:00:16,      0,NO     ,
    238,                   ,       ,     24,     50,       ,COLD   ,     44,   2.03,   2.34,    150,     50,      3,      3,   0.09,Part ch,       ,04/11/2022 04:26:16,04/11/2022 04:29:16,      0,NO     ,
    237,                   ,       ,     24,     50,       ,COLD   ,     44,   2.03,   2.40,    150,     50,      8,     15,   0.45,Part ch,       ,04/11/2022 04:43:16,04/11/2022 04:52:16,      0,NO     ,
    236,                   ,       ,     24,     50,       ,COLD   ,     48,   2.04,   2.39,    150,     50,      5,      7,   0.21,Part ch,       ,04/11/2022 05:05:16,04/11/2022 05:10:16,      0,NO     ,
    235,                   ,       ,     24,     50,       ,COLD   ,     45,   2.03,   2.44,    148,     50,     23,     49,   1.44,Part ch,       ,04/11/2022 05:21:16,04/11/2022 05:44:16,      0,NO     ,
    234,                   ,       ,     24,     50,       ,COLD   ,     75,   2.10,   2.42,    113,     50,     15,     31,   0.92,Part ch,       ,04/11/2022 05:49:16,04/11/2022 06:04:16,      0,NO     ,
    233,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.45,    140,     50,     17,     35,   1.03,Part ch,       ,04/11/2022 07:00:16,04/11/2022 07:17:16,      0,NO     ,
    232,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.44,    143,     50,     34,     76,   2.22,Part ch,       ,04/11/2022 08:37:16,04/11/2022 09:10:16,      0,NO     ,
    231,                   ,       ,     24,     50,       ,COLD   ,     99,   2.16,   2.43,     44,     50,     32,     28,   0.84,Part ch,       ,04/11/2022 10:06:16,04/11/2022 10:38:16,      0,YES    ,
    230,                   ,       ,     24,     50,       ,COLD   ,     47,   2.04,   2.41,    150,     50,      9,     15,   0.46,Part ch,       ,04/11/2022 11:12:16,04/11/2022 11:20:16,      0,NO     ,
    229,                   ,       ,     24,     50,       ,COLD   ,     40,   2.02,   2.42,    149,     50,     12,     22,   0.66,Part ch,       ,04/11/2022 12:12:16,04/11/2022 12:23:16,      0,NO     ,
    228,                   ,       ,     24,     50,       ,COLD   ,     44,   2.03,   2.43,     99,     50,     52,    107,   3.15,Part ch,       ,04/11/2022 12:52:16,04/11/2022 13:43:16,      0,NO     ,
    227,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.42,    113,     50,     26,     55,   1.62,Part ch,       ,04/11/2022 15:40:16,04/11/2022 16:07:16,      0,NO     ,
    226,                   ,       ,     24,     50,       ,COLD   ,     49,   2.04,   2.42,    113,     50,     24,     49,   1.45,Part ch,       ,04/11/2022 17:56:16,04/11/2022 18:20:16,      0,YES    ,
    225,                   ,       ,     24,     50,       ,COLD   ,     33,   2.01,   2.37,    150,     50,     14,     27,   0.78,Part ch,       ,04/11/2022 18:21:16,04/11/2022 18:35:16,      0,YES    ,
    224,                   ,       ,     24,     50,       ,COLD   ,     38,   2.02,   2.38,    150,     50,     13,     24,   0.69,Part ch,       ,04/11/2022 21:16:16,04/11/2022 21:30:16,      0,YES    ,
    223,                   ,       ,     24,     50,       ,COLD   ,     24,   1.99,   2.42,    150,     50,     28,     61,   1.77,Part ch,       ,04/11/2022 22:51:16,04/11/2022 23:19:16,      0,YES    ,
    222,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.34,    150,     50,      8,     13,   0.37,Part ch,       ,04/12/2022 03:44:16,04/12/2022 03:51:16,      0,YES    ,
    221,                   ,       ,     24,     50,       ,COLD   ,     59,   2.07,   2.36,    150,     50,     15,     28,   0.82,Part ch,       ,04/12/2022 04:00:16,04/12/2022 04:14:16,      0,NO     ,
    220,                   ,       ,     24,     50,       ,COLD   ,     54,   2.06,   2.43,     57,     50,     28,     41,   1.22,Part ch,       ,04/12/2022 04:56:16,04/12/2022 05:23:16,      0,YES    ,
    219,                   ,       ,     24,     50,       ,COLD   ,     62,   2.07,   2.44,    147,     50,     10,     19,   0.57,Part ch,       ,04/12/2022 07:51:16,04/12/2022 08:01:16,      0,NO     ,
    218,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.43,     75,     50,     43,     76,   2.24,Part ch,       ,04/12/2022 08:27:16,04/12/2022 09:10:16,      0,NO     ,
    217,                   ,       ,     24,     50,       ,COLD   ,     63,   2.08,   2.42,    150,     50,      7,     13,   0.38,Part ch,       ,04/12/2022 11:34:16,04/12/2022 11:41:16,      0,NO     ,
