Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P360               ,PI504325           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     70,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
    562,  57354, -56792,   2592,     15,      0,      3,      0,     35,    125,     10,     20,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    116,                   ,    600,     24,     33,       ,COLD   ,     32,   2.01,   2.48,     53,     33,    221,    199,   5.95,Full ch,DF7    ,07/30/2020 16:03:00,07/30/2020 19:45:00,    256,
    115,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.26,   2.07,      0,     33,    336,    129,   3.66,Part ch,       ,07/30/2020 19:45:00,07/31/2020 01:23:00,      0,
    114,                   ,    600,     24,     33,       ,COLD   ,     32,   2.01,   2.48,     45,     33,    105,    111,   3.29,Part ch,       ,08/04/2020 10:09:00,08/04/2020 11:55:00,      0,
    113,                   ,    600,     24,     33,       ,COLD   ,     50,   2.04,   2.48,     53,     33,    137,    112,   3.37,Full ch,DF7    ,08/04/2020 21:23:00,08/04/2020 23:40:00,    256,
    112,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.26,   2.27,     15,     33,    479,    167,   4.71,Full ch,       ,08/04/2020 23:40:00,08/05/2020 07:49:00,      0,
    111,                   ,    600,     24,     33,       ,COLD   ,      9,   1.97,   2.26,     76,     33,     67,     85,   2.33,Part ch,DF4    ,08/07/2020 15:26:00,08/07/2020 16:34:00,   4096,
    110,                   ,    600,     24,     33,       ,COLD   ,     35,   2.01,   2.51,     22,     33,    411,    346,  10.09,Full ch,DFC    ,08/07/2020 16:55:00,08/08/2020 00:03:00,      2,
    109,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.23,   2.47,     15,     33,    479,    167,   5.09,Full ch,       ,08/08/2020 00:03:00,08/08/2020 08:29:00,      0,
    108,                   ,    600,     24,     33,       ,COLD   ,     92,   2.13,   2.49,     27,     33,      3,      2,   0.08,Full ch,       ,08/08/2020 08:34:00,08/08/2020 08:44:00,      0,
    107,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.26,   2.47,     15,     33,    479,    167,   5.09,Full ch,       ,08/08/2020 08:44:00,08/08/2020 16:55:00,      0,
    106,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.26,   2.47,     14,     33,    479,    167,   5.07,Full ch,       ,08/08/2020 16:55:00,08/09/2020 01:15:00,      0,
    105,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.24,   2.47,     15,     33,    479,    167,   5.08,Full ch,       ,08/09/2020 01:15:00,08/09/2020 10:09:00,      0,
    104,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.21,   2.47,     15,     33,    479,    167,   5.09,Full ch,       ,08/09/2020 10:09:00,08/09/2020 18:28:00,      0,
    103,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.25,   2.47,     15,     33,    479,    167,   5.07,Full ch,       ,08/09/2020 18:28:00,08/10/2020 02:38:00,      0,
    102,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.26,   2.45,     15,     33,    303,    123,   3.76,Part ch,       ,08/10/2020 02:38:00,08/10/2020 07:42:00,      0,
    101,                   ,    600,     24,     33,       ,COLD   ,      8,   1.96,   2.46,     66,     33,    359,    423,  11.92,Full ch,DF5    ,08/12/2020 16:03:00,08/12/2020 22:04:00,   5120,
    100,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.29,   2.38,     27,     33,    105,     47,   1.34,Part ch,       ,08/12/2020 22:04:00,08/12/2020 23:50:00,      0,
     99,                   ,    600,     24,     33,       ,COLD   ,     18,   1.98,   2.48,     53,     33,    232,    225,   6.64,Full ch,DF7    ,08/17/2020 16:39:00,08/18/2020 07:53:00,    256,
     98,                   ,    600,     24,     33,       ,COLD   ,     23,   1.99,   2.31,     76,     33,     96,    122,   3.40,Part ch,       ,08/18/2020 15:33:00,08/18/2020 17:10:00,      0,
     97,                   ,    600,     24,     33,       ,COLD   ,     30,   2.01,   2.35,     70,     33,    104,    132,   3.73,Part ch,       ,08/19/2020 15:25:00,08/19/2020 17:10:00,      0,
     96,                   ,    600,     24,     33,       ,COLD   ,      6,   1.96,   3.40,      0,     33,    429,    436,  12.61,Full ch,DF4    ,09/11/2020 16:34:00,09/11/2020 23:44:00,  20480,
     95,                   ,    600,     24,     33,       ,COLD   ,     99,   2.29,   2.53,     22,     33,     75,     28,   0.86,Full ch,       ,09/11/2020 23:45:00,09/12/2020 07:39:00,      0,
     94,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.22,     76,     33,      1,      1,   0.05,Part ch,       ,09/22/2020 12:36:00,09/22/2020 12:38:00,      0,
