Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518168           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    4.0,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   6646,  62133, -55487,   6959,     30,      0,     17,     13,    287,    884,  20664,     87,   1634,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    263,                   ,    875,     36,     50,       ,OPP    ,     19,   1.98,   2.30,    154,     50,     30,     76,   3.15,Part ch,       ,03/21/2022 15:43:16,03/21/2022 16:13:16,      0,NO     ,
    262,                   ,    875,     36,     50,       ,OPP    ,      5,   1.92,   2.27,    155,     50,     24,     58,   2.42,Part ch,       ,03/21/2022 17:39:16,03/21/2022 18:02:16,      0,YES    ,
    261,                   ,    875,     36,     50,       ,OPP    ,      9,   1.97,   2.29,    154,     50,     42,    106,   4.38,Part ch,       ,03/21/2022 21:18:16,03/21/2022 22:00:16,      0,YES    ,
    260,                   ,       ,     36,     50,       ,COLD   ,     99,   2.32,   2.43,     27,     50,    347,    520,  22.65,Part ch,       ,03/21/2022 22:00:16,03/22/2022 03:46:16,      0,YES    ,
    259,RUG00143901        ,    875,     36,     91,OPP    ,OPP    ,     50,   2.04,   2.29,    154,     91,      7,     14,   0.58,Part ch,       ,03/22/2022 13:07:16,03/22/2022 13:14:16,      0,NO     ,
    258,                   ,    875,     36,     50,       ,OPP    ,     63,   2.08,   2.36,    154,     50,     38,     94,   4.02,Part ch,       ,03/22/2022 13:37:16,03/22/2022 14:14:16,      0,NO     ,
    257,                   ,    875,     36,     50,       ,OPP    ,     79,   2.11,   2.47,    122,     50,     79,    193,   8.54,Part ch,       ,03/22/2022 14:37:16,03/22/2022 15:55:16,      0,YES    ,
    256,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     38,   2.02,   2.35,    155,     50,     44,    109,   4.62,Part ch,       ,03/22/2022 21:16:16,03/22/2022 22:00:16,      0,YES    ,
    255,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     99,   2.38,   2.51,     33,     50,    219,    315,  13.86,Full ch,       ,03/22/2022 22:00:16,03/23/2022 01:47:16,      0,NO     ,
    254,RTK00077421        ,    875,     36,     50,OPP    ,EQUAL  ,     99,   2.20,   2.57,     39,     50,    105,     68,   3.16,Part ch,       ,03/23/2022 01:47:16,03/23/2022 03:32:16,      0,NO     ,
    253,RUG00143901        ,    875,     36,     77,OPP    ,OPP    ,      5,   1.94,   2.41,     66,     89,    236,    509,  21.71,Part ch,       ,03/23/2022 04:47:16,03/23/2022 08:43:16,      0,YES    ,
    252,                   ,    875,     36,     50,       ,OPP    ,     77,   2.10,   2.45,    154,     50,     30,     74,   3.26,Part ch,       ,03/23/2022 13:13:16,03/23/2022 13:43:16,      0,YES    ,
    251,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     28,   2.00,   2.26,    154,     50,     10,     21,   0.90,Part ch,       ,03/23/2022 13:51:16,03/23/2022 14:01:16,      0,YES    ,
    250,RUG00143901        ,    875,     36,     89,OPP    ,OPP    ,     50,   2.05,   2.38,     44,     93,    149,    252,  10.88,Full ch,       ,03/23/2022 14:39:16,03/23/2022 22:00:16,      0,NO     ,
    249,RUG00143901        ,    875,     36,     86,OPP    ,CMP CH ,     99,   2.16,   2.53,     43,     87,    121,     93,   4.25,Full ch,       ,03/23/2022 22:00:16,03/24/2022 03:56:16,    512,NO     ,
    248,RUG00143901        ,    875,     36,     87,OPP    ,OPP    ,     37,   2.02,   2.30,    153,     89,     25,     58,   2.44,Part ch,       ,03/24/2022 08:18:16,03/24/2022 08:43:16,      0,YES    ,
    247,                   ,    875,     36,     50,       ,OPP    ,     16,   1.98,   2.32,    154,     50,     42,    106,   4.42,Part ch,       ,03/24/2022 09:10:16,03/24/2022 09:52:16,      0,YES    ,
    246,RUG00143901        ,    875,     36,     89,OPP    ,OPP    ,     21,   1.99,   2.29,    155,     91,     50,    123,   5.09,Part ch,       ,03/24/2022 11:14:16,03/24/2022 12:04:16,      0,YES    ,
    245,                   ,    875,     36,     50,       ,OPP    ,      5,   1.87,   2.33,    155,     50,     64,    163,   6.78,Part ch,       ,03/24/2022 12:11:16,03/24/2022 13:15:16,      0,NO     ,
    244,                   ,    875,     36,     50,       ,OPP    ,      5,   1.87,   2.48,     75,     50,    246,    548,  23.79,Part ch,       ,03/24/2022 17:54:16,03/24/2022 22:00:16,      0,YES    ,
    243,                   ,       ,     36,     50,       ,COLD   ,     99,   2.49,   2.43,     28,     50,    363,    202,   8.90,Full ch,DF5    ,03/24/2022 22:00:16,03/25/2022 07:33:16,   1024,NO     ,
    242,                   ,    875,     36,     50,       ,OPP    ,     63,   2.08,   2.37,    154,     50,     24,     60,   2.57,Part ch,       ,03/25/2022 13:12:16,03/25/2022 13:36:16,      0,NO     ,
    241,RUG00143901        ,    875,     36,     91,OPP    ,OPP    ,     80,   2.11,   2.39,     76,     93,     36,     58,   2.52,Part ch,       ,03/25/2022 18:19:16,03/25/2022 18:55:16,      0,NO     ,
    240,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     47,   2.04,   2.52,     33,     50,    279,    454,  19.74,Full ch,       ,03/25/2022 22:09:16,03/26/2022 02:56:16,      0,NO     ,
    239,RTK00077421        ,    875,     36,     50,OPP    ,EQUAL  ,     99,   2.22,   2.55,     39,     50,    172,    112,   5.18,Part ch,       ,03/26/2022 02:56:16,03/26/2022 05:48:16,      0,NO     ,
    238,                   ,    875,     36,     50,       ,OPP    ,     88,   2.12,   2.47,     44,     50,     74,    125,   5.59,Full ch,       ,03/26/2022 06:30:16,03/26/2022 10:35:16,      0,NO     ,
    237,                   ,    875,     36,     50,       ,OPP    ,     99,   2.19,   2.47,     44,     50,      5,      3,   0.15,Full ch,       ,03/26/2022 10:36:16,03/26/2022 22:00:16,      0,NO     ,
    236,                   ,       ,     36,     50,       ,COLD   ,     99,   2.18,   2.51,     25,     50,     67,     28,   1.27,Full ch,       ,03/26/2022 22:00:16,03/27/2022 00:04:16,      0,NO     ,
    235,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.22,   2.45,     16,     50,    480,    181,   8.22,Full ch,       ,03/27/2022 00:04:16,03/28/2022 03:30:16,      0,NO     ,
    234,RUG00143901        ,    875,     36,     55,OPP    ,COLD   ,     74,   2.10,   2.44,    153,     55,      2,      3,   0.15,Part ch,       ,03/28/2022 03:43:16,03/28/2022 03:45:16,      0,NO     ,
    233,RUG00143901        ,    875,     36,     55,OPP    ,OPP    ,     64,   2.08,   2.45,     44,     57,     22,     22,   0.99,Full ch,       ,03/28/2022 05:58:16,03/28/2022 06:28:16,      0,NO     ,
    232,RUG00143901        ,    875,     36,     69,OPP    ,OPP    ,     20,   1.99,   2.34,    152,     73,     51,    125,   5.27,Part ch,       ,03/28/2022 11:21:16,03/28/2022 12:12:16,      0,YES    ,
    231,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     56,   2.06,   2.38,    153,     50,     21,     49,   2.12,Part ch,       ,03/28/2022 12:47:16,03/28/2022 13:08:16,      0,NO     ,
    230,                   ,    875,     36,     50,       ,OPP    ,     44,   2.03,   2.28,    154,     50,      7,     14,   0.61,Part ch,       ,03/28/2022 13:13:16,03/28/2022 13:19:16,      0,NO     ,
    229,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     54,   2.06,   2.39,    154,     50,     26,     61,   2.64,Part ch,       ,03/28/2022 13:39:16,03/28/2022 14:05:16,      0,YES    ,
    228,RUG00143901        ,    875,     36,     80,OPP    ,OPP    ,     15,   1.98,   2.27,    154,     82,     23,     55,   2.27,Part ch,       ,03/28/2022 15:57:16,03/28/2022 16:19:16,      0,NO     ,
    227,RUG00143901        ,    875,     36,     82,OPP    ,OPP    ,     71,   2.09,   2.35,    149,     87,     72,    177,   7.50,Part ch,       ,03/28/2022 16:20:16,03/28/2022 17:31:16,      0,YES    ,
    226,RUG00143901        ,    875,     36,     86,OPP    ,OPP    ,     55,   2.06,   2.39,    146,     89,     48,    117,   5.01,Part ch,       ,03/28/2022 18:26:16,03/28/2022 19:13:16,      0,YES    ,
    225,                   ,       ,     36,     50,       ,COLD   ,     50,   2.05,   2.44,     25,     50,    355,    492,  21.43,Part ch,       ,03/28/2022 22:01:16,03/29/2022 03:56:16,      0,YES    ,
    224,RUG00143901        ,    875,     36,     89,OPP    ,OPP    ,     16,   1.98,   2.30,    153,     93,     58,    143,   5.90,Part ch,       ,03/29/2022 11:19:16,03/29/2022 12:16:16,      0,YES    ,
    223,                   ,    875,     36,     50,       ,OPP    ,     11,   1.97,   2.27,    154,     50,     13,     30,   1.26,Part ch,       ,03/29/2022 13:07:16,03/29/2022 13:20:16,      0,YES    ,
    222,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     33,   2.01,   2.31,    153,     50,     24,     57,   2.42,Part ch,       ,03/29/2022 13:31:16,03/29/2022 13:55:16,      0,YES    ,
    221,RUG00143901        ,    875,     36,     93,OPP    ,OPP    ,     18,   1.98,   2.27,    149,     96,     37,     89,   3.66,Part ch,       ,03/29/2022 14:28:16,03/29/2022 15:04:16,      0,NO     ,
    220,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     28,   2.00,   2.47,     44,     50,    221,    476,  20.68,Full ch,       ,03/29/2022 15:45:16,03/29/2022 19:56:16,      0,NO     ,
    219,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     97,   2.14,   2.47,     44,     50,      9,      8,   0.36,Full ch,       ,03/29/2022 20:06:16,03/29/2022 21:13:16,      0,NO     ,
    218,                   ,    875,     36,     50,       ,OPP    ,      5,   1.94,   2.47,     97,     50,    200,    474,  20.62,Part ch,       ,03/30/2022 05:03:16,03/30/2022 08:23:16,      0,YES    ,
    217,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     44,   2.03,   2.33,    153,     50,     26,     61,   2.57,Part ch,       ,03/30/2022 09:13:16,03/30/2022 09:39:16,      0,YES    ,
    216,RUG00143901        ,    875,     36,    100,OPP    ,OPP    ,      5,   1.95,   2.33,    148,    105,    102,    253,  10.48,Part ch,       ,03/30/2022 10:17:16,03/30/2022 11:59:16,      0,YES    ,
    215,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     29,   2.00,   2.29,    154,     50,     25,     60,   2.51,Part ch,       ,03/30/2022 12:51:16,03/30/2022 13:16:16,      0,NO     ,
    214,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     44,   2.03,   2.47,     43,     50,    215,    443,  19.26,Full ch,       ,03/30/2022 13:42:16,03/30/2022 17:35:16,      0,NO     ,
    213,                   ,    875,     36,     50,       ,OPP    ,      5,   1.84,   2.27,    154,     50,     24,     59,   2.42,Part ch,       ,03/30/2022 21:31:16,03/30/2022 21:54:16,      0,YES    ,
    212,                   ,       ,     36,     50,       ,COLD   ,     41,   2.03,   2.43,     37,     50,    335,    563,  24.47,Part ch,       ,03/30/2022 22:21:16,03/31/2022 03:56:16,      0,YES    ,
    211,RUG00143901        ,    875,     36,     91,OPP    ,OPP    ,     30,   2.01,   2.29,    152,     93,     28,     67,   2.79,Part ch,       ,03/31/2022 08:16:16,03/31/2022 08:44:16,      0,YES    ,
    210,                   ,    875,     36,     50,       ,OPP    ,     54,   2.06,   2.35,    153,     50,     25,     60,   2.58,Part ch,       ,03/31/2022 09:14:16,03/31/2022 09:38:16,      0,YES    ,
    209,RUG00143901        ,    875,     36,     91,OPP    ,OPP    ,     20,   1.99,   2.29,    153,     95,     47,    115,   4.78,Part ch,       ,03/31/2022 11:17:16,03/31/2022 12:04:16,      0,YES    ,
    208,                   ,    875,     36,     50,       ,OPP    ,     40,   2.02,   2.31,    154,     50,     26,     64,   2.68,Part ch,       ,03/31/2022 13:11:16,03/31/2022 13:36:16,      0,YES    ,
    207,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     41,   2.03,   2.32,    153,     50,     33,     78,   3.31,Part ch,       ,03/31/2022 13:41:16,03/31/2022 14:14:16,      0,YES    ,
    206,                   ,    875,     36,     50,       ,OPP    ,      5,   1.90,   2.39,    149,     50,     97,    242,  10.29,Part ch,       ,03/31/2022 15:06:16,03/31/2022 16:42:16,      0,YES    ,
    205,                   ,    875,     36,     50,       ,OPP    ,     78,   2.10,   2.47,    127,     50,     67,    165,   7.32,Part ch,       ,03/31/2022 17:42:16,03/31/2022 18:49:16,      0,YES    ,
    204,RUG00143901        ,    875,     36,     95,OPP    ,CMP CH ,     41,   2.03,   2.41,     43,     98,    243,    399,  17.08,Full ch,       ,03/31/2022 22:02:16,04/01/2022 03:56:16,    512,NO     ,
    203,RUG00143901        ,    875,     36,     96,OPP    ,OPP    ,     17,   1.98,   2.26,    152,     98,     28,     67,   2.76,Part ch,       ,04/01/2022 08:20:16,04/01/2022 08:48:16,      0,YES    ,
    202,                   ,    875,     36,     50,       ,OPP    ,      5,   1.85,   2.30,    153,     50,     41,    101,   4.19,Part ch,       ,04/01/2022 09:13:16,04/01/2022 09:53:16,      0,YES    ,
    201,RUG00143901        ,    875,     36,     98,OPP    ,OPP    ,     14,   1.97,   2.36,    152,    104,    110,    276,  11.52,Part ch,       ,04/01/2022 10:22:16,04/01/2022 12:12:16,      0,YES    ,
    200,                   ,    875,     36,     50,       ,OPP    ,      5,   1.89,   2.33,    153,     50,     62,    156,   6.50,Part ch,       ,04/01/2022 12:26:16,04/01/2022 13:28:16,      0,YES    ,
